WGS84 UTM 32N
442710 5444300
33.13406209059758 -26.245796039700508 165.0
-36.12768969591707 -8.00440173316747 164.0
44.27855355141219 35.731929461471736 167.0
30.150135377654806 42.950572814792395 165.0
47.309173951915 -0.24104610085487366 165.0
7.058408531767782 -38.22051760647446 163.0
32.481539983069524 81.61037974897772 165.0
-59.231792033766396 -49.864198349416256 165.0
50.58513345452957 0.9448801027610898 167.0
-13.303266932722181 -30.17122195009142 164.0
-60.44963641662616 -24.72209832444787 165.0
55.010315266263206 -23.622029482387006 167.0
16.149856611329596 14.853277466259897 165.0
39.76136607956141 -9.958886771462858 164.0
36.11666848580353 79.92663609050214 167.0
19.798105144116562 -4.325799065642059 165.0
-19.353443767351564 3.5199885480105877 164.0
42.76671702013118 -56.580037214793265 166.0
-48.199948299326934 6.0367629658430815 164.0
-58.13561489462154 -57.457343220710754 166.0
-3.584798677067738 -63.341492536477745 166.0
-36.77291864901781 -56.31407482456416 163.0
30.514514923619572 -11.793219440616667 165.0
37.77447236154694 -57.21080686803907 166.0
-31.005361523362808 -64.52702878415585 166.0
19.133084687113296 -52.83291573449969 165.0
40.58398029167438 -14.834564376622438 164.0
-57.48313192691421 -46.51611269079149 164.0
-28.312333650304936 -51.19192528817803 164.0
19.139836588408798 50.98002508003265 165.0
47.77582091075601 16.051045157946646 167.0
49.632670278137084 5.997934634797275 167.0
31.946699563530274 88.25266920030117 166.0
-29.183374526386615 -46.497943543829024 164.0
-21.89705442765262 -34.272874513641 164.0
32.236407142539974 -21.378604316152632 165.0
59.45107291545719 -48.253949399106205 167.0
6.842488538532052 67.73492730874568 164.0
-13.414778362668585 -64.74352017510682 166.0
3.4379961158847436 33.644581091590226 164.0
43.77532540989341 19.038738736882806 165.0
-25.2285507543711 51.341429642401636 166.0
24.078282421221957 76.52151757944375 165.0
-40.62921424157685 -62.07386739645153 165.0
-0.8720308811753057 5.224474273622036 164.0
28.727159284753725 -2.074358467012644 165.0
-53.68804117181571 -15.820803673006594 164.0
-50.96572327183094 -30.305373896844685 164.0
-31.814796107355505 -32.03285868372768 164.0
-39.64839479123475 11.343247468583286 164.0
